vid,mos,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
Test1/City/Test01_City_D01,67.29,640,480,uyvy422,30.00030000300003,364,0,147863694
Test1/City/Test01_City_D02,24.86,640,480,uyvy422,15.151515151515152,173,0,74905708
Test1/City/Test01_City_D03,17.96,640,480,uyvy422,14.460897732531235,170,0,71498786
Test1/City/Test01_City_D04,30.23,640,480,uyvy422,30.003540417769297,345,0,147902104
Test1/City/Test01_City_D05,25.08,640,480,uyvy422,14.689766814641585,172,0,72625382
Test1/City/Test01_City_D06,43.78,640,480,uyvy422,28.600764784450337,325,0,141012363
Test1/City/Test01_City_D07,51.67,640,480,uyvy422,28.474695961433873,358,0,140350867
Test1/City/Test01_City_D08,63.68,640,480,uyvy422,25.0,295,0,123297959
Test1/City/Test01_City_D09,64.95,640,480,uyvy422,25.0,308,0,123280261
Test1/Talking_head/Test01_Talking_Head_D01,69.37,640,480,uyvy422,30.00030000300003,485,0,147762139
Test1/Talking_head/Test01_Talking_Head_D02,31.65,640,480,uyvy422,15.151515151515152,258,0,74762504
Test1/Talking_head/Test01_Talking_Head_D03,31.98,640,480,uyvy422,14.715663941325705,254,0,72616322
Test1/Talking_head/Test01_Talking_Head_D04,30.87,640,480,uyvy422,30.06334346468008,509,0,148058226
Test1/Talking_head/Test01_Talking_Head_D05,35.1,640,480,uyvy422,14.753875843184005,253,0,72806021
Test1/Talking_head/Test01_Talking_Head_D06,38.22,640,480,uyvy422,27.52697643690817,458,0,135596657
Test1/Talking_head/Test01_Talking_Head_D07,35.99,640,480,uyvy422,29.52657096120799,497,0,145421600
Test1/Talking_head/Test01_Talking_Head_D08,53.69,640,480,uyvy422,25.0,402,0,123186434
Test1/Talking_head/Test01_Talking_Head_D09,64.59,640,480,uyvy422,25.0,403,0,123185672
Test1/Traffic/Test01_Traffic_D01,67.74,640,480,uyvy422,30.00030000300003,695,0,147669949
Test1/Traffic/Test01_Traffic_D02,29.57,640,480,uyvy422,15.151515151515152,334,0,74696369
Test1/Traffic/Test01_Traffic_D03,27.76,640,480,uyvy422,14.848603637313946,391,0,73170995
Test1/Traffic/Test01_Traffic_D04,25.72,640,480,uyvy422,29.98689572656749,636,0,147623703
Test1/Traffic/Test01_Traffic_D05,30.21,640,480,uyvy422,14.86484879475806,360,0,73267225
Test1/Traffic/Test01_Traffic_D06,43.36,640,480,uyvy422,28.173934602663,617,0,138705329
Test1/Traffic/Test01_Traffic_D07,65.53,640,480,uyvy422,29.453953162323682,650,0,144995140
