vid,mos,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
0_00_00_1357553287,57.1232,1080,1920,yuv420p,30.0,240,8,8999590
0_00_00_1382276868,19.6213,640,358,yuv420p,30.0,243,8,268131
0_00_00_1471695573,38.4367,1440,1080,yuv420p,30.0,241,8,11263223
0_00_00_1480614099,30.2807,1440,1080,yuv420p,30.0,240,8,6086864
0_00_00_1481698958,44.4004,1440,1080,yuv420p,30.0,241,8,10360761
0_00_00_1489062722,44.4666,1920,1080,yuv420p,30.0,241,8,11866047
0_00_00_1496806576,44.5882,1920,1080,yuv420p,30.0,242,8,3442756
0_00_00_1497739062,28.8822,1440,1080,yuv420p,30.0,240,8,4726784
0_00_00_1498361484,23.9051,1920,1080,yuv420p,30.0,240,8,4166336
0_00_00_1506138520,37.0953,1440,1080,yuv420p,30.0,240,8,12071100
0_00_00_1508325879,40.6211,1920,1080,yuv420p,30.0,242,8,6392188
0_00_00_1520985479,62.1293,720,1280,yuv420p,30.0,240,8,1518672
0_00_00_1523155015,58.4712,1920,1080,yuv420p,30.0,240,0,12673399
0_00_00_1524195843,65.5588,1440,1080,yuv420p,60.0,480,0,796949
0_00_00_1525944632,64.3656,1920,1080,yuv420p,30.0,243,8,9232820
0_00_00_1526647919,30.0955,2560,1440,yuv420p,60.0,480,8,24235193
0_00_00_1527099879,65.7026,1080,1920,yuv420p,30.0,241,0,10530797
0_00_00_1527179217,49.0064,768,1280,yuv420p,30.0,240,8,5061088
0_00_00_1527540295,27.2627,1920,1080,yuv420p,60.0,481,8,19296903
0_00_00_1528355637,30.5319,1920,1080,yuv420p,60.0,480,8,9320505
0_00_00_1528859772,65.2352,2160,3840,yuv420p,25.0,200,8,49094900
0_00_00_1529226310,21.9254,720,1280,yuv420p,30.0,240,8,5608135
0_00_00_1530315612,62.6757,1080,1920,yuv420p,30.0,240,0,12011331
0_00_00_1531155230,24.2859,720,720,yuv420p,30.0,242,8,1031736
0_00_00_1531266030,40.5282,720,1280,yuv420p,30.0,242,8,1342802
0_00_00_1531272710,35.8705,1080,1920,yuv420p,30.0,240,8,3618778
0_00_00_1531508998,27.3417,2160,2160,yuv420p,60.0,480,8,11831354
0_00_00_1531588370,66.1899,1080,1920,yuv420p,60.0,243,0,22334596
0_00_00_1532066327,28.3765,1920,1080,yuv420p,30.0,240,8,8121331
0_00_00_1533760658,67.0829,1080,1920,yuv420p,30.0,240,0,12635428
0_00_00_1534661364,63.8909,1080,1920,yuv420p,30.0,242,0,7067553
0_00_00_1535663036,56.7815,1080,1920,yuv420p,30.0,242,8,6405248
0_00_00_1536696630,32.3832,2560,1440,yuv420p,60.0,480,8,19306545
0_00_00_1539656878,65.9835,1080,1920,yuv420p,120.0,467,0,17951106
0_00_00_1539734187,45.8362,1920,1080,yuv420p,60.0,480,0,13647031
0_00_00_1540166351,47.4207,1920,1080,yuv420p,29.97002997002997,240,0,12198500
0_00_00_1540198529,54.1726,1920,1080,yuv420p,60.0,487,8,34436042
0_00_00_1540852728,68.8399,1080,1920,yuv420p,30.0,240,0,12715371
0_00_00_1540919569,69.7649,1080,1920,yuv420p,59.94005994005994,480,0,17912210
0_00_00_1546269485,41.9906,2160,3840,yuv420p,58.0,465,8,61788379
0_00_05_1586395153-yase,26.2893,1280,720,yuv420p,30.0,240,8,1083622
0_00_05_1602471821-yase,51.533,1080,1440,yuv420p,30.0,240,8,3920404
0_00_05_1603354364-yase,25.1258,1920,1080,yuv420p,25.0,200,8,2414060
0_00_05_1604608049-yase,53.7369,1080,1920,yuv420p,50.0,400,8,1346485
0_00_05_1609285120-yase,41.1083,1920,1080,yuv420p,30.0,240,8,3727663
0_00_05_1611428486-yase,40.9786,1280,720,yuv420p,30.0,240,8,1300034
0_00_05_1612410404-yase,61.1762,1080,1920,yuv420p,30.0,240,8,9564496
0_00_05_1613502823-yase,59.5683,1920,1080,yuv420p,60.0,480,8,5320217
0_00_05_1615458707-yase,50.0432,1080,1920,yuv420p,30.0,240,8,3620574
0_00_05_1615501144-yase,51.2699,1920,1080,yuv420p,25.0,200,8,2829852
0_00_05_1615742828-yase,37.3327,360,640,yuv420p,30.0,240,8,287101
0_00_05_1615945733-yase,41.2919,1920,1080,yuv420p,25.0,200,8,1452764
