vid,mos,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
0_00_00_1357553287,55.9395,1080,1920,yuv420p,30.0,240,8,8999590
0_00_00_1382276868,18.1614,640,358,yuv420p,30.0,243,8,268131
0_00_00_1471695573,33.3148,1440,1080,yuv420p,30.0,241,8,11263223
0_00_00_1480614099,36.196,1440,1080,yuv420p,30.0,240,8,6086864
0_00_00_1481698958,44.9245,1440,1080,yuv420p,30.0,241,8,10360761
0_00_00_1489062722,39.5177,1920,1080,yuv420p,30.0,241,8,11866047
0_00_00_1496806576,40.3253,1920,1080,yuv420p,30.0,242,8,3442756
0_00_00_1497739062,26.1575,1440,1080,yuv420p,30.0,240,8,4726784
0_00_00_1498361484,33.8293,1920,1080,yuv420p,30.0,240,8,4166336
0_00_00_1506138520,36.8543,1440,1080,yuv420p,30.0,240,8,12071100
0_00_00_1508325879,42.5898,1920,1080,yuv420p,30.0,242,8,6392188
0_00_00_1520985479,50.4896,720,1280,yuv420p,30.0,240,8,1518672
0_00_00_1523155015,64.6723,1920,1080,yuv420p,30.0,240,0,12673399
0_00_00_1524195843,60.3037,1440,1080,yuv420p,60.0,480,0,796949
0_00_00_1525944632,65.3007,1920,1080,yuv420p,30.0,243,8,9232820
0_00_00_1526647919,32.775,2560,1440,yuv420p,60.0,480,8,24235193
0_00_00_1527099879,71.9008,1080,1920,yuv420p,30.0,241,0,10530797
0_00_00_1527179217,50.4181,768,1280,yuv420p,30.0,240,8,5061088
0_00_00_1527540295,39.5036,1920,1080,yuv420p,60.0,481,8,19296903
0_00_00_1528355637,29.3144,1920,1080,yuv420p,60.0,480,8,9320505
0_00_00_1528859772,65.4449,2160,3840,yuv420p,25.0,200,8,49094900
0_00_00_1529226310,23.3874,720,1280,yuv420p,30.0,240,8,5608135
0_00_00_1530315612,62.7302,1080,1920,yuv420p,30.0,240,0,12011331
0_00_00_1531155230,22.1052,720,720,yuv420p,30.0,242,8,1031736
0_00_00_1531266030,45.2007,720,1280,yuv420p,30.0,242,8,1342802
0_00_00_1531272710,45.4821,1080,1920,yuv420p,30.0,240,8,3618778
0_00_00_1531508998,23.1561,2160,2160,yuv420p,60.0,480,8,11831354
0_00_00_1531588370,71.5646,1080,1920,yuv420p,60.0,243,0,22334596
0_00_00_1532066327,25.9046,1920,1080,yuv420p,30.0,240,8,8121331
0_00_00_1533760658,64.5076,1080,1920,yuv420p,30.0,240,0,12635428
0_00_00_1534661364,57.6261,1080,1920,yuv420p,30.0,242,0,7067553
0_00_00_1535663036,62.2616,1080,1920,yuv420p,30.0,242,8,6405248
0_00_00_1536696630,31.5919,2560,1440,yuv420p,60.0,480,8,19306545
0_00_00_1539656878,72.2403,1080,1920,yuv420p,120.0,467,0,17951106
0_00_00_1539734187,45.7008,1920,1080,yuv420p,60.0,480,0,13647031
0_00_00_1540166351,46.1721,1920,1080,yuv420p,29.97002997002997,240,0,12198500
0_00_00_1540198529,59.9033,1920,1080,yuv420p,60.0,487,8,34436042
0_00_00_1540852728,69.4674,1080,1920,yuv420p,30.0,240,0,12715371
0_00_00_1540919569,74.3094,1080,1920,yuv420p,59.94005994005994,480,0,17912210
0_00_00_1546269485,46.6927,2160,3840,yuv420p,58.0,465,8,61788379
0_00_05_1586395153-yase,27.1734,1280,720,yuv420p,30.0,240,8,1083622
0_00_05_1602471821-yase,51.8901,1080,1440,yuv420p,30.0,240,8,3920404
0_00_05_1603354364-yase,30.6215,1920,1080,yuv420p,25.0,200,8,2414060
0_00_05_1604608049-yase,46.2807,1080,1920,yuv420p,50.0,400,8,1346485
0_00_05_1609285120-yase,46.7968,1920,1080,yuv420p,30.0,240,8,3727663
0_00_05_1611428486-yase,31.8477,1280,720,yuv420p,30.0,240,8,1300034
0_00_05_1612410404-yase,63.9792,1080,1920,yuv420p,30.0,240,8,9564496
0_00_05_1613502823-yase,59.078,1920,1080,yuv420p,60.0,480,8,5320217
0_00_05_1615458707-yase,53.2612,1080,1920,yuv420p,30.0,240,8,3620574
0_00_05_1615501144-yase,44.1589,1920,1080,yuv420p,25.0,200,8,2829852
0_00_05_1615742828-yase,29.6661,360,640,yuv420p,30.0,240,8,287101
0_00_05_1615945733-yase,40.8548,1920,1080,yuv420p,25.0,200,8,1452764
0_00_05_1618348510-yase,48.0578,1920,1080,yuv420p,60.0,480,8,6307478
0_00_05_500001600597236-yase,36.4387,1440,1080,yuv420p,30.0,240,8,6614344
0_00_05_500001603158273-yase,17.7539,384,288,yuv420p,25.0,200,8,103386
0_00_05_500001607289106-yase,26.4001,1280,720,yuv420p,30.0,240,8,7142709
0_00_05_500001607319870-yase,53.4391,1920,1080,yuvj420p,30.0,240,8,9705453
0_00_05_500001608700571-yase,53.2937,720,1056,yuv420p,30.0,240,8,1660562
0_00_05_500001611681154-yase,63.5373,1080,1920,yuv420p,30.0,240,8,3705923
0_00_05_500001615565424-yase,48.5358,1080,1920,yuv420p,30.0,240,8,5384199
0_00_06_1601185800-yase,56.4481,720,1280,yuv420p,15.0,120,8,1397884
0_00_06_1601991692-yase,58.8418,1920,1080,yuv420p,59.94005994005994,480,8,2584286
0_00_06_1602654425-yase,40.4687,720,1280,yuv420p,30.0,240,8,1240900
0_00_06_1602871394-yase,56.4319,1920,1080,yuv420p,60.0,480,8,7077345
0_00_06_1604157759-yase,20.7122,1280,720,yuv420p,30.0,240,8,1128890
0_00_06_1604745227-yase,66.8855,1080,1440,yuv420p,30.0,240,8,3990652
0_00_06_1605583468-yase,33.4211,1920,1080,yuv420p,25.0,200,8,557338
0_00_06_1606252453-yase,61.822,1920,1080,yuv420p,50.0,400,8,18287501
0_00_06_1607691570-yase,55.4072,2560,1440,yuv420p,30.0,240,8,8309706
0_00_06_1607799726-yase,50.0724,480,852,yuv420p,20.0,160,8,593874
0_00_06_1608378127-yase,67.595,1920,1080,yuv420p,30.0,240,8,5438955
0_00_06_1608522260-yase,62.8373,1080,1440,yuv420p,30.0,240,8,5679712
0_00_06_1608571613-yase,66.0164,1080,1920,yuv420p,30.0,240,8,3859556
0_00_06_1609716403-yase,49.8583,720,1280,yuv420p,30.0,240,8,4179329
0_00_06_1610483362-yase,45.6259,528,960,yuv420p,30.0,240,8,321414
0_00_06_1611425690-yase,33.8024,1280,720,yuv420p,30.0,240,8,1022389
0_00_06_1612077139-yase,69.0046,1080,1920,yuv420p,50.0,400,8,25604561
0_00_06_1612542809-yase,25.5142,1440,1080,yuv420p,30.0,240,8,2047832
0_00_06_1612696362-yase,23.1399,1440,1080,yuv420p,30.0,240,8,810436
0_00_06_1613580809-yase,49.1219,854,476,yuv420p,29.0,232,8,549460
0_00_06_1615079878-yase,67.0207,1080,1920,yuv420p,60.0,480,8,8658668
0_00_06_1615642256-yase,53.5035,1920,1080,yuv420p,25.0,200,8,3078642
0_00_06_1617400920-yase,65.9077,2160,3840,yuv420p,30.0,240,8,17736181
0_00_06_1620270450-yase,43.4791,1080,1920,yuv420p,30.0,240,8,1542623
0_00_06_500001601172475-yase,64.7383,2160,3840,yuv420p,30.0,240,8,6292261
0_00_06_500001606761834-yase,60.6883,1080,1920,yuv420p,30.0,240,8,3978683
0_00_06_500001607423613-yase,21.2035,1280,720,yuv420p,27.0,216,8,2003087
0_00_06_500001609349653-yase,36.1989,852,480,yuv420p,30.00003000003,241,8,320890
0_00_06_500001609381232-yase,55.3357,1080,1920,yuv420p,30.0,240,8,4853659
