vid,mos,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
0_00_00_1357553287,57.5141,1080,1920,yuv420p,30.0,240,8,8999590
0_00_00_1382276868,22.1271,640,358,yuv420p,30.0,243,8,268131
0_00_00_1471695573,38.2436,1440,1080,yuv420p,30.0,241,8,11263223
0_00_00_1480614099,32.074,1440,1080,yuv420p,30.0,240,8,6086864
0_00_00_1481698958,43.0904,1440,1080,yuv420p,30.0,241,8,10360761
0_00_00_1489062722,45.8209,1920,1080,yuv420p,30.0,241,8,11866047
0_00_00_1496806576,42.9409,1920,1080,yuv420p,30.0,242,8,3442756
0_00_00_1497739062,35.4918,1440,1080,yuv420p,30.0,240,8,4726784
0_00_00_1498361484,39.9845,1920,1080,yuv420p,30.0,240,8,4166336
0_00_00_1506138520,45.5117,1440,1080,yuv420p,30.0,240,8,12071100
0_00_00_1508325879,46.321,1920,1080,yuv420p,30.0,242,8,6392188
0_00_00_1520985479,58.656,720,1280,yuv420p,30.0,240,8,1518672
0_00_00_1523155015,63.1968,1920,1080,yuv420p,30.0,240,0,12673399
0_00_00_1524195843,59.2018,1440,1080,yuv420p,60.0,480,0,796949
0_00_00_1525944632,61.9471,1920,1080,yuv420p,30.0,243,8,9232820
0_00_00_1526647919,33.8994,2560,1440,yuv420p,60.0,480,8,24235193
0_00_00_1527099879,62.5426,1080,1920,yuv420p,30.0,241,0,10530797
0_00_00_1527179217,27.9888,768,1280,yuv420p,30.0,240,8,5061088
0_00_00_1527540295,34.526,1920,1080,yuv420p,60.0,481,8,19296903
0_00_00_1528355637,34.3943,1920,1080,yuv420p,60.0,480,8,9320505
0_00_00_1528859772,61.0748,2160,3840,yuv420p,25.0,200,8,49094900
0_00_00_1529226310,24.0397,720,1280,yuv420p,30.0,240,8,5608135
0_00_00_1530315612,60.4151,1080,1920,yuv420p,30.0,240,0,12011331
0_00_00_1531155230,20.8093,720,720,yuv420p,30.0,242,8,1031736
0_00_00_1531266030,43.9575,720,1280,yuv420p,30.0,242,8,1342802
