vid,mos,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
0_00_00_1357553287,55.5417,1080,1920,yuv420p,30.0,240,8,8999590
0_00_00_1382276868,22.829,640,358,yuv420p,30.0,243,8,268131
0_00_00_1471695573,39.7474,1440,1080,yuv420p,30.0,241,8,11263223
0_00_00_1480614099,34.6857,1440,1080,yuv420p,30.0,240,8,6086864
0_00_00_1481698958,46.2063,1440,1080,yuv420p,30.0,241,8,10360761
0_00_00_1489062722,50.2024,1920,1080,yuv420p,30.0,241,8,11866047
0_00_00_1496806576,49.8413,1920,1080,yuv420p,30.0,242,8,3442756
0_00_00_1497739062,36.6184,1440,1080,yuv420p,30.0,240,8,4726784
0_00_00_1498361484,37.0237,1920,1080,yuv420p,30.0,240,8,4166336
0_00_00_1506138520,45.4706,1440,1080,yuv420p,30.0,240,8,12071100
0_00_00_1508325879,45.9586,1920,1080,yuv420p,30.0,242,8,6392188
0_00_00_1520985479,64.7011,720,1280,yuv420p,30.0,240,8,1518672
0_00_00_1523155015,53.8196,1920,1080,yuv420p,30.0,240,0,12673399
0_00_00_1524195843,65.8435,1440,1080,yuv420p,60.0,480,0,796949
0_00_00_1525944632,61.365,1920,1080,yuv420p,30.0,243,8,9232820
0_00_00_1526647919,15.7132,2560,1440,yuv420p,60.0,480,8,24235193
0_00_00_1527099879,65.0069,1080,1920,yuv420p,30.0,241,0,10530797
0_00_00_1527179217,37.257,768,1280,yuv420p,30.0,240,8,5061088
0_00_00_1527540295,12.6308,1920,1080,yuv420p,60.0,481,8,19296903
0_00_00_1528355637,15.1072,1920,1080,yuv420p,60.0,480,8,9320505
0_00_00_1528859772,64.3602,2160,3840,yuv420p,25.0,200,8,49094900
0_00_00_1529226310,25.6312,720,1280,yuv420p,30.0,240,8,5608135
0_00_00_1530315612,63.57,1080,1920,yuv420p,30.0,240,0,12011331
0_00_00_1531155230,33.7375,720,720,yuv420p,30.0,242,8,1031736
0_00_00_1531266030,44.9618,720,1280,yuv420p,30.0,242,8,1342802
0_00_00_1531272710,41.854,1080,1920,yuv420p,30.0,240,8,3618778
0_00_00_1531508998,34.9406,2160,2160,yuv420p,60.0,480,8,11831354
0_00_00_1531588370,65.0157,1080,1920,yuv420p,60.0,243,0,22334596
0_00_00_1532066327,9.09904,1920,1080,yuv420p,30.0,240,8,8121331
0_00_00_1533760658,60.3949,1080,1920,yuv420p,30.0,240,0,12635428
0_00_00_1534661364,62.3,1080,1920,yuv420p,30.0,242,0,7067553
0_00_00_1535663036,57.5668,1080,1920,yuv420p,30.0,242,8,6405248
0_00_00_1536696630,17.8388,2560,1440,yuv420p,60.0,480,8,19306545
0_00_00_1539656878,65.3667,1080,1920,yuv420p,120.0,467,0,17951106
0_00_00_1539734187,35.3226,1920,1080,yuv420p,60.0,480,0,13647031
0_00_00_1540166351,46.4954,1920,1080,yuv420p,29.97002997002997,240,0,12198500
0_00_00_1540198529,48.3454,1920,1080,yuv420p,60.0,487,8,34436042
0_00_00_1540852728,65.03,1080,1920,yuv420p,30.0,240,0,12715371
0_00_00_1540919569,68.0851,1080,1920,yuv420p,59.94005994005994,480,0,17912210
