vid,mos,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
0_00_00_1357553287,59.1404,1080,1920,yuv420p,30.0,240,8,8999590
0_00_00_1382276868,17.7575,640,358,yuv420p,30.0,243,8,268131
0_00_00_1471695573,29.901,1440,1080,yuv420p,30.0,241,8,11263223
0_00_00_1480614099,31.5358,1440,1080,yuv420p,30.0,240,8,6086864
0_00_00_1481698958,32.8648,1440,1080,yuv420p,30.0,241,8,10360761
0_00_00_1489062722,41.3605,1920,1080,yuv420p,30.0,241,8,11866047
0_00_00_1496806576,42.6792,1920,1080,yuv420p,30.0,242,8,3442756
0_00_00_1497739062,33.2755,1440,1080,yuv420p,30.0,240,8,4726784
0_00_00_1498361484,40.4649,1920,1080,yuv420p,30.0,240,8,4166336
0_00_00_1506138520,44.0815,1440,1080,yuv420p,30.0,240,8,12071100
0_00_00_1508325879,46.7915,1920,1080,yuv420p,30.0,242,8,6392188
0_00_00_1520985479,56.6713,720,1280,yuv420p,30.0,240,8,1518672
0_00_00_1523155015,60.8969,1920,1080,yuv420p,30.0,240,0,12673399
0_00_00_1524195843,58.7495,1440,1080,yuv420p,60.0,480,0,796949
0_00_00_1525944632,58.8231,1920,1080,yuv420p,30.0,243,8,9232820
0_00_00_1526647919,40.0949,2560,1440,yuv420p,60.0,480,8,24235193
0_00_00_1527099879,62.2344,1080,1920,yuv420p,30.0,241,0,10530797
0_00_00_1527179217,47.6694,768,1280,yuv420p,30.0,240,8,5061088
0_00_00_1527540295,37.1977,1920,1080,yuv420p,60.0,481,8,19296903
0_00_00_1528355637,34.6602,1920,1080,yuv420p,60.0,480,8,9320505
0_00_00_1528859772,61.3994,2160,3840,yuv420p,25.0,200,8,49094900
0_00_00_1529226310,28.4479,720,1280,yuv420p,30.0,240,8,5608135
0_00_00_1530315612,43.3991,1080,1920,yuv420p,30.0,240,0,12011331
0_00_00_1531155230,30.337,720,720,yuv420p,30.0,242,8,1031736
0_00_00_1531266030,51.2246,720,1280,yuv420p,30.0,242,8,1342802
0_00_00_1531272710,49.2466,1080,1920,yuv420p,30.0,240,8,3618778
0_00_00_1531508998,36.3115,2160,2160,yuv420p,60.0,480,8,11831354
0_00_00_1531588370,60.3766,1080,1920,yuv420p,60.0,243,0,22334596
0_00_00_1532066327,34.8101,1920,1080,yuv420p,30.0,240,8,8121331
0_00_00_1533760658,56.2723,1080,1920,yuv420p,30.0,240,0,12635428
0_00_00_1534661364,58.901,1080,1920,yuv420p,30.0,242,0,7067553
0_00_00_1535663036,43.634,1080,1920,yuv420p,30.0,242,8,6405248
0_00_00_1536696630,34.3501,2560,1440,yuv420p,60.0,480,8,19306545
0_00_00_1539656878,63.7572,1080,1920,yuv420p,120.0,467,0,17951106
0_00_00_1539734187,40.3305,1920,1080,yuv420p,60.0,480,0,13647031
0_00_00_1540166351,50.9022,1920,1080,yuv420p,29.97002997002997,240,0,12198500
0_00_00_1540198529,59.7935,1920,1080,yuv420p,60.0,487,8,34436042
0_00_00_1540852728,59.1185,1080,1920,yuv420p,30.0,240,0,12715371
0_00_00_1540919569,69.0311,1080,1920,yuv420p,59.94005994005994,480,0,17912210
0_00_00_1546269485,37.9076,2160,3840,yuv420p,58.0,465,8,61788379
0_00_05_1586395153-yase,35.2844,1280,720,yuv420p,30.0,240,8,1083622
0_00_05_1602471821-yase,54.2708,1080,1440,yuv420p,30.0,240,8,3920404
0_00_05_1603354364-yase,37.8263,1920,1080,yuv420p,25.0,200,8,2414060
0_00_05_1604608049-yase,49.641,1080,1920,yuv420p,50.0,400,8,1346485
0_00_05_1609285120-yase,47.0553,1920,1080,yuv420p,30.0,240,8,3727663
0_00_05_1611428486-yase,38.7241,1280,720,yuv420p,30.0,240,8,1300034
0_00_05_1612410404-yase,56.826,1080,1920,yuv420p,30.0,240,8,9564496
